show_name,key_creatives,network,studio,date,genre,subgenre,episode_count,source_type,status,order_type,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daredevil: Born Again,"Matt Corman (w, ep), Chris Ord (w, ep)",Paramount+,Marvel Television,2023-01-01,Drama,,,Comic,,,"Centers on Daredevil, otherwise known by the name Matt Murdock -- an attorney by day and crimefighter by night. Based on the Marvel Comics character.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Winds,"Vince Calandra, Graham Roland, George R.R. Martin, Robert Redford, Tina Elmo, Vince Gerardis, Chris Eyre, Zahn McClarnon",AMC,,2023-01-01,Drama,"Crime, Historical",6,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Boy Detectives,"Steve Yockey (w, ep), Jeremy Carver (w, ep), Greg Berlanti (ep), Sarah Schechter (ep), David Madden (ep)",HBO,"Berlanti Productions, Warner Bros. Television",2021-01-01,Drama,,,Comic,,,Follows the Dead Boy Detectives — Charles Rowland and Edwin Paine — who decided not to enter the afterlife in order to stay on Earth and investigate crimes involving the supernatural.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Day,"Julie Plec, Kevin Williamson",Peacock,Universal Television,2022-01-27,Drama,,,Comic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Ringers,"Alice Birch, Rachel Weisz, Stacy O'Neil, Megan Ellison, Sue Naegle, Ali Krug, James G. Robinson, David Robinson, Barbara Wall, Michael Chernus, Poppy Liu",Prime Video,Annapurna Television,2021-01-01,Drama,,,Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degrassi,"Lara Azzopardi (w, ep, sr), Julia Cohen (w, ep, sr)",HBO,WildBrain,2021-01-01,Drama,,,Original,,,"Set in Toronto, it follows a group of teenagers and school faculty living in the shadow of events that both bind them together and tear them apart -- traveling deep into the hearts and homes of diverse, complicated characters as they struggle to find their new normal, reaching for hope, redemption and love.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deli Boys,"Abdullah Saeed (w, ep), Michelle Nader (ep, sr), Jenni Konner (ep), Nora Silver (ep), Vali Chandrasekaran (ep), Nisha Ganatra (d, ep)",Hulu,Onyx Collective,2023-01-01,Comedy,,,Original,,,"When their convenience store-magnate father suddenly dies, a pair of pampered Pakistani American brothers lose everything and are forced to reckon with their Baba’s secret life of crime as they attempt to take up his mantle in the underworld.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demascus,"Tearrance Arvelle Chisholm, Kirk Moore, Mark Johnson, Myki Bajaj",AMC,AMC Studios,2023-01-01,Drama,Science Fiction,6,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demimonde,"J.J. Abrams, Ben Stephenson, Kira Snyder, Rand Ravich, Far Shariat",HBO,Warner Bros. Television,2021-01-01,Drama,"Science Fiction, Fantasy",,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department Q,"Chandni Lakhani, Scott Frank, Rob Bullock, Andy Harries",Netflix,Left Bank,2023-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devil in Ohio,"Daria Polatin, Rachel Miller, Andrew Wilder, Ian Hay, John Fawcett, Brad Anderson, Leslie Hope, Steve Adelson",Netflix,Netflix,2021-01-01,Drama,Thriller,8,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diarra from Detroit,"Diarra Kilpatrick, Diarra Kilpatrick",BET,BET Studios,2023-03-21,Comedy,,8,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disclaimer,"Alfonso Cuarón, Cate Blanchett, Gabriela Rodriguez, David Levine, Dawn Olmstea, Steve Golin, Emmanuel Lubezki, Bruno Delbonnel, Renee Knight",Apple TV+,Apple Studios,2023-01-01,Drama,Thriller,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMZ,"Ava DuVernay (d, ep), Roberto Patino (w, ep, sr)",HBO,"Array Filmworks, Warner Bros. Television",2021-01-01,Drama,,,Comic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc,"Barbie Kligman, Hank Steinberg",Fox,Sony Pictures Television,2023-04-03,Drama,"Medical, Procedural",,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctor Odyssey,"Ryan Murphy, Joshua Jackson",ABC,20th Television,2024-03-20,Drama,Medical,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doogie Kameāloha M.D.,"Kourtney Kang (w, ep), Jake Kasdan (ep), Melvin Mar (ep), Dayna Bochco (p), Jesse Bochco (p)",Paramount+,20th Television,2023-01-01,Comedy,,10,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dune: The Sisterhood,"Diane Ademu-John (w, ep), Alison Schapker (ep, sr), Denis Villeneuve (d, ep), Jon Spaihts (ep), Scott Z. Burns (ep), Matthew King (ep), John Cameron (ep), Mark Tobey (ep), Jordan Goldberg (ep), Brian Herbert (ep), Kim Herbert (ep), Anna Foerster (d), Kevin J. Anderson (co-p)",HBO,Legendary Television,2021-01-01,Drama,,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeons & Dragons,Rawson Marshall Thurber,Paramount+,Entertainment One,2023-01-10,Fantasy,,8,Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duster,J.J. Abrams and LaToya Morgan,HBO,Warner Bros. Television,2021-01-01,Drama,,,Original,,,"It's 1972, and the first Black female FBI agent heads to the Southwest and recruits a gutsy getaway driver -- the first in a bold effort to take down a growing crime syndicate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East New York,"William Finkelstein (w, ep), Mike Flynn (w, ep), Mike Robin (ep), Mark Holder (ep), Christine Holder (ep)",CBS,Warner Bros. Television,2022-01-01,Comedy,,,Original,,,"Regina Haywood is the newly promoted police captain of East New York, an impoverished, working-class neighborhood at the eastern edge of Brooklyn. She leads a diverse group of officers and detectives, some of whom are reluctant to deploy her creative methods of serving and protecting during the midst of social upheaval and the early seeds of gentrification.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echo,,Paramount+,,2023-01-01,Drama,,,Original,,,"Hawkeye' spinoff centers on Maya, a deaf Native American superhero who has a talent to imitate any opponent’s fighting style.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echo 3,"Mark Boal, Jason Horwitch, Peter Traugott, Stan Wlodkowski, Omri Givon, Eitan Mansuri, Jonathan Doweck, Avi Nir, Alon Shtruzman, Karni Ziv",Apple TV+,Keshet Studios,2023-01-01,Drama,Action,6,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echoes,"Vanessa Gazy, Brian Yorkey, Quinton Peeples, Imogen Banks",Netflix,Netflix,2021-01-01,Drama,Thriller,,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
