show_name,name,roles,order,notes
Expats,Janice Y.K. Lee,,3,No role specified in original data
Expats,Nicole Kidman,,4,No role specified in original data
Expats,Per Saari,,5,No role specified in original data
Expats,Theresa Park,,6,No role specified in original data
Expats,Dani Melia,,7,No role specified in original data
Expats,Stan Wlodkowski,,8,No role specified in original data
Exploding Kittens,Mike Judge,,1,No role specified in original data
Exploding Kittens,Greg Daniels,,2,No role specified in original data
Exploding Kittens,Shane Kosakowski,,3,No role specified in original data
Exploding Kittens,Matthew Inman,,4,No role specified in original data
Exploding Kittens,Dustin Davis,,5,No role specified in original data
Exploding Kittens,Peter Chernin,,6,No role specified in original data
Exploding Kittens,Jenno Topping,,7,No role specified in original data
Exploding Kittens,Elan Lee,,8,No role specified in original data
Extrapolations,Scott Z. Burns,,1,No role specified in original data
Extrapolations,Michael Ellenberg,,2,No role specified in original data
Extrapolations,Greg Jacobs,,3,No role specified in original data
Extrapolations,Dorothy Fortenberry,,4,No role specified in original data
Extrapolations,Lindsey Springer,,5,No role specified in original data
Fairfax,Matt Hausfater,,1,No role specified in original data
Fairfax,Aaron Buchsbaum,,2,No role specified in original data
Fairfax,Teddy Riley,,3,No role specified in original data
Fairfax,Jon Zimelis,,4,No role specified in original data
Fairfax,Jason U. Nadler,,5,No role specified in original data
Fairfax,Peter A. Knight,,6,No role specified in original data
Fairfax,Chris Prynoski,,7,No role specified in original data
Fairfax,Ben Kalina,,8,No role specified in original data
Fairfax,Antonio Cannobio,,9,No role specified in original data
Fairfax,Somehoodlum,,10,No role specified in original data
Fallout,Geneva Robertson-Dworet,,1,No role specified in original data
Fallout,Graham Wagner,,2,No role specified in original data
Fallout,Jonathan Nolan,,3,No role specified in original data
Fallout,Lisa Joy,,4,No role specified in original data
Fallout,Athena Wickham,,5,No role specified in original data
Fallout,Todd Howard,,6,No role specified in original data
Fallout,James Altman,,7,No role specified in original data
Fallout,Walton Goggins,,8,No role specified in original data
Fallout,Ella Purnell,,9,No role specified in original data
Fallout,Kyle MacLachlan,,10,No role specified in original data
Fallout,Xelia Mendes-Jones,,11,No role specified in original data
Fallout,Aaron Moten,,12,No role specified in original data
Fertile Crescent,James Purefoy,,1,No role specified in original data
Firebug,Dennis Lehane,,1,No role specified in original data
Firebug,Richard Plepler,,2,No role specified in original data
Firebug,Taron Egerton,,3,No role specified in original data
Firebug,Kary Antholis,,4,No role specified in original data
Firebug,Bradley Thomas,,5,No role specified in original data
Firebug,Dan Friedkin,,6,No role specified in original data
First Kill,Victoria 'V.E.' Schwab,,1,No role specified in original data
First Kill,Felicia D. Henderson,,2,No role specified in original data
First Kill,Emma Roberts,,3,No role specified in original data
First Kill,Karah Preiss,,4,No role specified in original data
First Kill,Jet Wilkinson,,5,No role specified in original data
Five Days at Memorial,John Ridley,,1,No role specified in original data
Five Days at Memorial,Carlton Cuse,,2,No role specified in original data
Five Days at Memorial,Sheri Fink,,3,No role specified in original data
FKA Heaven of Hell,Rodes Fishburne,"w, ep, co-sr",1,
FKA Heaven of Hell,Arika Lisanne Mittman,"w, ep, co-sr",2,
FKA Heaven of Hell,John Lee Hancock,"d, ep",3,
FKA Heaven of Hell,David Kanter,ep,4,
FKA Heaven of Hell,Jeff Okin,ep,5,
FKA Heaven of Hell,Romeo Tirone,ep,6,
FKA The Gordita Chronicles,Claudia Forestieri,"w, ep",1,
FKA The Gordita Chronicles,Brigitte Munoz-Liebowitz,"ep, sr",2,
FKA The Gordita Chronicles,Josh Berman,ep,3,
FKA The Gordita Chronicles,Jennifer Robinson,ep,4,
FKA The Gordita Chronicles,Chris King,ep,5,
